         image name	     False Detection	      Missed Regions	 Correct Segmentation	   Over Segmentation	  Under segmentation
   1504_blk_102.txt	   0.00	   0.00	  45.16	  54.84	   0.00
   1504_blk_118.txt	   0.00	   0.00	  62.79	  37.21	   0.00
    1504_blk_46.txt	   0.00	   0.00	  63.75	  36.25	   0.00
   1505_blk_167.txt	   0.00	   0.00	  93.06	   6.94	   0.00
   1506_blk_108.txt	   0.00	   0.00	  96.10	   3.90	   0.00
    1506_blk_11.txt	   0.00	   0.00	  90.20	   9.80	   0.00
    1506_blk_60.txt	   0.79	   0.00	  90.27	   9.73	   0.00
    1506_blk_76.txt	   0.00	   0.00	  84.38	  15.62	   0.00
   1507_blk_116.txt	   0.00	   0.00	  88.30	  11.70	   0.00
    1507_blk_14.txt	   0.00	   0.00	  92.31	   7.69	   0.00
    1507_blk_39.txt	   0.00	   0.00	  90.48	   9.52	   0.00
    1507_blk_64.txt	   0.00	   0.00	  95.83	   4.17	   0.00
    1507_blk_70.txt	   0.00	   0.00	  81.94	  18.06	   0.00
    1507_blk_84.txt	   0.81	   0.00	  94.59	   5.41	   0.00
   1508_blk_103.txt	   0.70	   0.00	  70.75	  29.25	   0.00
    1508_blk_62.txt	   0.00	   0.00	  82.35	  17.65	   0.00
    1509_blk_51.txt	   0.00	   0.00	  63.72	  36.28	   0.00
   1510_blk_115.txt	   0.00	   0.00	  94.74	   0.75	   2.26
   1510_blk_116.txt	   0.00	   0.00	  90.00	   3.33	   3.33
   1510_blk_118.txt	   3.05	   0.00	  92.36	   6.94	   0.69
   1510_blk_130.txt	   1.64	   0.00	  96.49	   3.51	   0.00
   1510_blk_131.txt	   2.17	   0.00	  96.63	   1.12	   1.12
   1510_blk_139.txt	   0.00	   0.00	  94.29	   2.86	   1.43
   1510_blk_143.txt	   5.94	   0.00	  64.66	   6.03	  10.34
   1510_blk_147.txt	   0.00	   0.00	  95.52	   4.48	   0.00
   1510_blk_150.txt	   0.00	   0.00	  94.59	   5.41	   0.00
   1510_blk_153.txt	  10.84	   0.00	 100.00	   0.00	   0.00
   1510_blk_154.txt	   0.00	   0.00	  73.33	  26.67	   0.00
    1510_blk_16.txt	   8.43	   0.00	  68.00	  32.00	   0.00
   1510_blk_161.txt	   0.00	   0.00	  87.60	   6.98	   2.33
   1510_blk_162.txt	   1.36	   0.00	  89.55	   8.96	   0.75
   1510_blk_170.txt	   0.92	   0.00	  86.00	  10.00	   2.00
    1510_blk_19.txt	   0.00	   0.00	  96.55	   3.45	   0.00
    1510_blk_23.txt	   0.00	   0.00	  91.43	   8.57	   0.00
    1510_blk_27.txt	   1.63	   0.00	  94.78	   5.22	   0.00
    1510_blk_28.txt	   0.00	   0.00	  89.55	  10.45	   0.00
    1510_blk_33.txt	   0.00	   0.00	  78.43	  19.61	   0.98
    1510_blk_34.txt	   0.00	   0.00	  72.57	  27.43	   0.00
    1510_blk_38.txt	   0.00	   0.00	  90.54	   9.46	   0.00
    1510_blk_40.txt	   0.82	   0.00	  77.66	  22.34	   0.00
    1510_blk_41.txt	   1.20	   0.00	  89.19	  10.81	   0.00
    1510_blk_46.txt	   0.00	   0.00	  91.11	   8.89	   0.00
    1510_blk_53.txt	   1.22	   0.00	  67.21	  27.87	   1.64
    1510_blk_54.txt	   0.72	   0.00	  32.86	  60.00	   1.43
    1510_blk_57.txt	   0.00	   0.00	  56.32	  43.68	   0.00
    1510_blk_68.txt	   4.63	   0.00	  90.00	   7.00	   1.00
    1510_blk_69.txt	   4.17	   0.00	  93.02	   6.98	   0.00
    1510_blk_71.txt	   8.33	   0.00	  29.09	  23.64	   8.18
    1510_blk_77.txt	   3.30	   0.00	  85.54	  10.84	   2.41
    1510_blk_81.txt	   1.63	   0.00	  97.52	   0.83	   0.83
    1510_blk_83.txt	   2.99	   0.00	  80.33	  11.48	   3.28
    1510_blk_86.txt	   0.00	   0.00	  92.22	   7.78	   0.00
    1510_blk_89.txt	   5.26	   0.00	  84.00	   2.67	   6.67
    1510_blk_92.txt	   0.78	   0.00	  81.08	  15.32	   1.80
    1510_blk_99.txt	   3.23	   0.00	  85.84	   8.85	   2.65
    1511_blk_11.txt	   0.00	   0.00	  95.29	   4.71	   0.00
   1511_blk_119.txt	   0.00	   0.00	  95.71	   4.29	   0.00
   1511_blk_120.txt	   0.00	   0.00	  90.34	   9.66	   0.00
   1511_blk_126.txt	   0.00	   0.00	  96.74	   3.26	   0.00
   1511_blk_142.txt	   0.00	   0.00	  79.55	  20.45	   0.00
    1511_blk_22.txt	   0.00	   0.00	  96.97	   3.03	   0.00
    1511_blk_35.txt	   0.00	   0.00	  94.34	   5.66	   0.00
    1511_blk_42.txt	   0.00	  25.81	  55.65	  18.55	   0.00
    1511_blk_59.txt	   0.00	   0.00	  97.06	   2.94	   0.00
    1511_blk_71.txt	   0.00	   0.00	  95.45	   4.55	   0.00
    1511_blk_80.txt	   0.00	   0.00	  93.06	   6.94	   0.00
   1516_blk_118.txt	   0.00	   0.00	  86.15	  13.85	   0.00
    1516_blk_54.txt	   0.00	   0.00	  68.00	  32.00	   0.00
    1516_blk_68.txt	   0.00	   0.00	  88.78	  11.22	   0.00
            Average	   1.11	   0.37	  83.91	  13.44	   0.80
